---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnV
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnV
data,D,DE,-4.87910145937455,-3.70402010240854
data,C,DE,-3.09799717994573,-3.51696275878721
data,D,DE,-2.66208954675282,-2.5910969793909
data,D,DE,-4.23565282348211,-4.44660968968727
data,D,DE,-3.33264998870765,-3.82995629135977
data,D,DE,-2.01229044222854,-2.74818834007815
data,A,AB,-0.0113536323321283,-0.315916766467843
data,D,DE,-3.08027368234137,-2.87640023236513
data,C,DE,-4.11553695840874,-4.56233341721033
data,D,DE,-4.42034748087738,-5.25580832910868
data,D,DE,-5.00494392806932,-5.8201634990508
data,D,DE,-3.42366513412463,-2.16566919620983
data,C,BC,-1.79298541111415,-1.71704334502246
data,C,DE,-2.42597763315222,-1.2646138277872
data,C,BC,-1.49121311215099,-1.07193157102153
data,C,BC,-4.32173671590553,-4.97951376512865
data,C,DE,-5.17173317912218,-5.36440923509844
data,C,BC,-3.32138135955255,-3.05845693642836
data,C,BC,-3.33710851104962,-3.20387125226112
data,C,DE,-5.90312761538782,-6.12962167563963
data,D,DE,-5.06598542212192,-4.62808271913812
data,C,BC,-4.75446276385551,-4.78298371615632
data,D,DE,-2.56948932684797,-2.54802465196844
data,C,DE,-4.10987057067968,-4.1541930688115
data,C,DE,-2.62421193012106,-2.80474825690671
data,D,DE,-3.60347944756412,-3.75865614812089
data,D,DE,-4.78579994656366,-5.31318841460554
data,C,BC,-3.54803349957296,-3.63225234028783
data,D,DE,-3.44734297258401,-3.15626465831922
data,C,BC,-4.2911519995507,-5.47391814305259
data,C,BC,-4.49532809427844,-5.70410325646479
data,C,BC,-3.44184231984346,-3.91527717496237
data,D,DE,-2.679051838564,-1.78306845873285
data,C,BC,-3.67201382834539,-4.02329271989215
data,D,DE,-3.47530403216571,-2.94208050918926
data,C,DE,-3.64717776696649,-3.87213628201979
data,D,DE,-3.13106834820308,-3.02946059049498
data,D,DE,-1.81204495072405,-1.11005694965466
data,D,DE,-2.46896544245145,-3.26440520421276
data,C,DE,-4.8117051207169,-5.25741973269992
data,C,BC,-3.42601157124455,-3.53795853180207
data,D,DE,-3.69138664627001,-2.76784362581532
data,C,DE,-3.26900167466638,-3.66535788210521
data,D,DE,-3.47356184468811,-4.29784646375038
