---
source: R[v4.3.1]::data.table[v1.14.8]::fwrite
creation_time_utc: 2023-09-17 13:06:41
schema:
  fields:
  - name: CL
    type: character
  - name: SC
    type: factor
  - name: GSC
    type: factor
  - name: LnA
    type: numeric
  - name: LnVRMS
    type: numeric
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
CL,SC,GSC,LnA,LnVRMS
data,C,BC,-5.16352064705414,-7.1863406433992
data,D,DE,-3.91795670311929,-5.63040410741366
data,E,DE,-4.63919391255747,-5.4116400372698
data,D,DE,-3.93362251299971,-5.80982844913049
data,D,DE,-1.23017183231752,-3.09099082247902
data,D,DE,-2.11445909798754,-3.07127013560428
data,D,DE,-4.40555383202122,-5.66407880875559
data,D,DE,-3.02332154843186,-3.76375645307516
data,D,DE,-4.66871209874659,-5.76884982418567
data,C,BC,-3.15610128661435,-5.34689881963806
data,C,BC,-2.68912979394959,-5.13126226873061
data,C,BC,-4.98391657564514,-8.87421315857539
data,D,DE,-2.56757776695199,-4.15200784201548
data,C,BC,-4.44489749812084,-6.75450391160987
data,C,BC,-3.33013808324566,-5.0124740777651
data,C,DE,-3.90699554238828,-6.28574430801557
data,C,BC,-1.9136679310651,-4.06126311001542
data,D,DE,-3.38329960457215,-4.14276943069346
data,D,DE,-4.01053233833711,-6.47022089386072
data,E,DE,-3.07380756462375,-4.79520219299158
